"RK","PLAYER NAME",TEAM,"POS","OPP","MATCHUP "
"228","Isaiah Davis",NYJ,"RB67","at TB","2 out of 5 stars"
"229","Tutu Atwell",LAR,"WR94","at PHI","2 out of 5 stars"
"230","Zamir White",LV,"RB68","at WAS","4 out of 5 stars"
"231","Xavier Hutchinson",HOU,"WR95","at JAC","4 out of 5 stars"
"232","Samaje Perine",CIN,"RB69","at MIN","2 out of 5 stars"
"233","Tyler Badie",DEN,"RB70","at LAC","2 out of 5 stars"
"234","Marcus Mariota",WAS,"QB34","vs. LV","3 out of 5 stars"
"235","Dameon Pierce",HOU,"RB71","at JAC","3 out of 5 stars"
"236","Tyler Lockett",TEN,"WR96","vs. IND","4 out of 5 stars"
"237","Emanuel Wilson",GB,"RB72","at CLE","4 out of 5 stars"
"238","Savion Williams",GB,"WR97","at CLE","4 out of 5 stars"
"239","Tre' Harris",LAC,"WR98","vs. DEN","3 out of 5 stars"
"240","Nick Westbrook-Ikhine",MIA,"WR99","at BUF","4 out of 5 stars"
"241","Mack Hollins",NE,"WR100","vs. PIT","2 out of 5 stars"
"242","Luther Burden III",CHI,"WR101","vs. DAL","3 out of 5 stars"
"243","Brashard Smith",KC,"RB73","at NYG","4 out of 5 stars"
"244","Tank Bigsby",PHI,"RB74","vs. LAR","3 out of 5 stars"
"245","DJ Giddens",IND,"RB75","at TEN","3 out of 5 stars"
"246","Jordan Whittington",LAR,"WR102","at PHI","2 out of 5 stars"
"247","Adonai Mitchell",IND,"WR103","at TEN","3 out of 5 stars"
"248","Jalen Tolbert",DAL,"WR104","at CHI","3 out of 5 stars"
"249","Austin Hooper",NE,"TE36","vs. PIT","4 out of 5 stars"
"250","Mason Taylor",NYJ,"TE37","at TB","3 out of 5 stars"
"251","Sean Tucker",TB,"RB76","vs. NYJ","2 out of 5 stars"
"252","Sterling Shepard",TB,"WR105","vs. NYJ","3 out of 5 stars"
"253","Roman Wilson",PIT,"WR106","at NE","4 out of 5 stars"
"254","Jahan Dotson",PHI,"WR107","vs. LAR","3 out of 5 stars"
"255","Chimere Dike",TEN,"WR108","vs. IND","4 out of 5 stars"
"256","Michael Mayer",LV,"TE38","at WAS","3 out of 5 stars"
"257","Devaughn Vele",NO,"WR109","at SEA","3 out of 5 stars"
"258","Isaiah Bond",CLE,"WR110","vs. GB","3 out of 5 stars"
"259","Grant Calcaterra",PHI,"TE39","vs. LAR","3 out of 5 stars"
"260","Elijah Arroyo",SEA,"TE40","vs. NO","4 out of 5 stars"
"261","Devin Singletary",NYG,"RB77","vs. KC","2 out of 5 stars"
"262","Noah Gray",KC,"TE41","at NYG","3 out of 5 stars"
"263","Jeremy Ruckert",NYJ,"TE42","at TB","3 out of 5 stars"
"264","Tyler Conklin",LAC,"TE43","vs. DEN","2 out of 5 stars"
"265","Allen Lazard",NYJ,"WR111","at TB","2 out of 5 stars"
"266","Elijah Higgins",ARI,"TE44","at SF","4 out of 5 stars"
"267","Dawson Knox",BUF,"TE45","vs. MIA","2 out of 5 stars"
"268","Luke Musgrave",GB,"TE46","at CLE","3 out of 5 stars"
"269","Roschon Johnson",CHI,"RB78","vs. DAL","4 out of 5 stars"
