"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"262",12,"Dont'e Thornton Jr.",LV,"WR92","8","4 out of 5 stars","-8"
"263",12,"Brandin Cooks",NO,"WR93","11","4 out of 5 stars","+120"
"264",12,"Jalen Tolbert",DAL,"WR94","10","2 out of 5 stars","+86"
"265",12,"Sean Tucker",TB,"RB78","9","3 out of 5 stars","+43"
"266",12,"Malik Washington",MIA,"WR95","12","3 out of 5 stars","+156"
"267",12,"Elijah Moore",BUF,"WR96","7","3 out of 5 stars","+60"
"268",12,"Joe Flacco",CLE,"QB32","9","2 out of 5 stars","+6"
"269",12,"Kayshon Boutte",NE,"WR97","14","3 out of 5 stars","+8"
"270",12,"Joshua Karty",LAR,"K15","8","2 out of 5 stars","+25"
"271",12,"Elijah Mitchell",KC,"RB79","10","2 out of 5 stars","-13"
"272",12,"Trevor Etienne",CAR,"RB80","14","3 out of 5 stars","-36"
"273",12,"Kenneth Gainwell",PIT,"RB81","5","4 out of 5 stars","+59"
"274",12,"Theo Johnson",NYG,"TE32","14","2 out of 5 stars","+31"
"275",12,"Devin Singletary",NYG,"RB82","14","3 out of 5 stars","+24"
"276",12,"Harold Fannin Jr.",CLE,"TE33","9","3 out of 5 stars","+36"
"277",12,"Antonio Gibson",NE,"RB83","14","4 out of 5 stars","+8"
"278",12,"Nick Westbrook-Ikhine",MIA,"WR98","12","3 out of 5 stars","+94"
"279",12,"Noah Gray",KC,"TE34","10","3 out of 5 stars","-15"
"280",12,"Tre Tucker",LV,"WR99","8","4 out of 5 stars","+78"
"281",12,"Isaac TeSlaa",DET,"WR100","8","3 out of 5 stars","-50"
"282",12,"Ty Johnson",BUF,"RB84","7","4 out of 5 stars","+35"
"283",12,"Audric Estime",DEN,"RB85","12","2 out of 5 stars","+27"
"284",12,"Cleveland Browns",CLE,"DST18","9","3 out of 5 stars","-31"
"285",12,"Dameon Pierce",HOU,"RB86","6","2 out of 5 stars","+22"
"286",12,"Jalen Nailor",MIN,"WR101","6","2 out of 5 stars","+32"
"287",13,"Tyler Shough",NO,"QB33","11","5 out of 5 stars","+29"
"288",13,"Darren Waller",MIA,"TE35","12","3 out of 5 stars","-92"
"289",13,"Chicago Bears",CHI,"DST19","5","2 out of 5 stars","-73"
"290",13,"Jaxson Dart",NYG,"QB34","14","1 out of 5 stars","-41"
